MMSI,Cyprus (Republic of),Received_Time,Vessel_Name,Latitude,Longitude,Course_Over_Ground_COG,Speed_Over_Ground_SOG,IMO_Number,Longitude_Second,Latitude_Second,_True_Heading_HDG,_Beam ,Destination,Destination,Ship_Type
306045000,Netherlands Antilles,20/02/2025 16:00:06,GUANYANG,22.611,120.274,168.3,0,9110250,120? 16.438' E,22? 36.660' N,0,9,53,KHH                 ,Cargo-all ships of this type
416006752,Taiwan (Province of China),20/02/2025 16:00:11,TA YU,22.5946,120.2911,316.7,0,0,120? 17.463' E,22? 35.676' N,339,13,60,KINMEN              ,Cargo-all ships of this type
416000095,Taiwan (Province of China),20/02/2025 16:00:29,YIN LIAN,22.5964,120.2898,154.6,0,0,120? 17.390' E,22? 35.783' N,356,11,76,LONG MEN - KAOHSIUNG,Cargo-all ships of this type
477893900,Hong Kong (Special Administrative Region of China),20/02/2025 16:00:29,SNL NANTONG,22.5576,120.3268,86,0,9936898,120? 19.608' E,22? 33.455' N,52,23,147,TWKHH               ,Cargo-all ships of this type
416000018,Taiwan (Province of China),20/02/2025 16:00:29,FORMOSA NO.8,22.5996,120.2826,360,0,0,120? 16.958' E,22? 35.979' N,511,11,28,TW_KHH              ,Tug
416006752,Taiwan (Province of China),20/02/2025 16:00:30,TA YU,22.5946,120.291,316.7,0,0,120? 17.462' E,22? 35.677' N,339,13,76,KINMEN              ,Cargo-all ships of this type
563126100,Singapore (Republic of),20/02/2025 16:00:30,GLORY MAJESTY,22.5948,120.242,232.4,0,9894026,120? 14.522' E,22? 35.690' N,31,19,104,KAOHSIUNG           ,Cargo-all ships of this type
416000095,Taiwan (Province of China),20/02/2025 16:00:38,YIN LIAN,22.5964,120.2898,154.6,0,0,120? 17.390' E,22? 35.783' N,356,11,76,LONG MEN - KAOHSIUNG,Cargo-all ships of this type
416005452,Taiwan (Province of China),20/02/2025 16:00:38,CHUNG YU NO.22,22.5845,120.3008,40,0,9814571,120? 18.047' E,22? 35.069' N,50,16,75,KAOSHIUNG           ,Tanker-all ships of this type
416003923,Taiwan (Province of China),20/02/2025 16:00:39,KAO NO.112,22.597,120.2868,142.9,4.7,0,120? 17.211' E,22? 35.819' N,511,14,89,KOH                 ,Tug
538005156,Marshall Islands (Republic of the),20/02/2025 16:00:42,STONEWELL PIONEER,22.6089,120.2883,175.9,0,9679385,120? 17.300' E,22? 36.532' N,118,32,190,TWKHH               ,Cargo-all ships of this type
416000095,Taiwan (Province of China),20/02/2025 16:00:44,YIN LIAN,22.5964,120.2898,154.6,0,0,120? 17.390' E,22? 35.783' N,356,11,76,LONG MEN - KAOHSIUNG,Cargo-all ships of this type
629009312,Gambia (Republic of the),20/02/2025 16:00:44,XIN YUAN,22.5818,120.2957,295,0.1,9126106,120? 17.740' E,22? 34.910' N,231,15,85,KOHSIUNG            ,Cargo-all ships of this type
538010853,Marshall Islands (Republic of the),20/02/2025 16:00:46,FAIRCHEM PATHFINDER,22.5887,120.293,148.4,4.2,9975301,120? 17.581' E,22? 35.322' N,150,27,158,TW KHH              ,Tanker-all ships of this type
677011100,Tanzania (United Republic of),20/02/2025 16:00:46,HAI FA,22.582,120.2955,268.4,0,9072991,120? 17.727' E,22? 34.922' N,511,12,74,KAOXIONG            ,Cargo-all ships of this type
416003923,Taiwan (Province of China),20/02/2025 16:02:39,KAO NO.112,22.5947,120.2886,166.2,2.9,0,120? 17.318' E,22? 35.684' N,511,14,89,KOH                 ,Tug
457556000,Mongolia,20/02/2025 16:05:53,EVER  DELIGHT,91,181,360,102.3,8358661,Not available (default),Not available (default),511,16,96,KAOHSIUNG           ,Cargo-all ships of this type
629009312,Gambia (Republic of the),20/02/2025 16:05:53,XIN YUAN,22.5818,120.2957,288,0,9126106,120? 17.740' E,22? 34.910' N,231,15,85,KOHSIUNG            ,Cargo-all ships of this type
416006752,Taiwan (Province of China),20/02/2025 16:06:19,TA YU,22.5946,120.2911,316.7,0,0,120? 17.463' E,22? 35.676' N,339,13,76,KINMEN              ,Cargo-all ships of this type
